,tokenized_column
56,"['Anyone', 'have', 'any', 'ideas', 'what', 'might', 'have', '``', 'dropped', ""''"", 'the', 'mkts', 'estimate', 'of', 'Terminal', 'Rates', 'by', '50', 'basis', 'points', 'in', 'the', 'week', 'after', 'Thanksgiving', '?', '?', '?', ',', 'or', 'for', 'that', 'matter', 'the', 'near', '25', 'bp', ""'s"", '``', 'recovery', ""''"", 'in', 'the', 'last', 'week', '?', '?', '?', 'Delta', '?', 'Omicron', '?', 'https', ':', '//t.co/xUBXwOHyPr']"
57,"['3/6', 'corrélation', 'cas', '/', 'hospitalisations', 'avec', 'Omicron', 'comparable', 'aux', 'phases', 'précédentes', 'en', 'Af', '.', 'du', 'S.', 'https', ':', '//t.co/rQGYMPFj9a']"
58,"['@', 'bridgeduan', '@', 'caolaoshi89', '坏消息只是Omicron不屌他们的疫苗了，但是好消息是Omicron就是个感冒，如果觉得英国近700例没有重症都不能说明问题，就看看南非的近10万例吧，确诊人数飙升，病死人数却在下降。这不就是感冒的效果吗。']"
59,"['1/6', 'Omicron', 'va', 'probablement', 'doubler', 'Delta', 'dans', 'la', 'côte', 'dans', 'les', 'jours', 'qui', 'viennent', 'https', ':', '//t.co/Q4BkNltEwR', 'https', ':', '//t.co/06cGCkk8P5']"
60,"['@', 'TheRealPembo', '@', 'sheridan_dave', '@', 'shanebazzi', 'There', ""'s"", 'new', 'data', 'on', 'the', 'efficacy', 'of', 'a', 'third', 'dose', 'against', 'Omicron']"
61,"['@', 'acoyne', 'They', 'just', 'discovered', 'the', 'variant', '.', 'What', 'proper', 'study', 'has', 'been', 'done', 'to', 'show', 'a', '3rd', 'dose', 'is', 'safe', 'and', 'effective', 'against', 'Omicron', '?', 'Legit', 'question', '.']"
62,"['@', 'thehill', 'Not', 'a', 'single', 'person', 'has', 'died', 'from', 'omicron', '.', 'Boosters', 'aren', '’', 't', 'needed', '.', 'Boosters', 'line', 'pockets', ',', 'that', '’', 's', 'all', '.']"
63,"['Within', 'the', 'next', 'couple', 'of', 'days', ',', 'we', 'will', 'likely', 'not', 'be', 'able', 'to', 'track', 'this', 'cluster', 'because', 'it', 'will', 'have', 'branched', 'out', 'too', 'far', ',', '”', 'Alex', 'Summers', ',', 'the', 'area', '’', 's', 'acting', 'medical', 'officer', 'of', 'health', ',', 'said', 'Friday', '.', '“', 'we', 'have', 'to', 'conclude', 'that', 'Omicron', 'is', 'circulating', 'broadly', 'https', ':', '//t.co/Bx3paIGf3A']"
64,"['@', 'DeaconYoseph', '@', 'HermelaTV', '@', 'UnityForEthio', 'D', 'Tedros', 'on', 'OMICRON', ':', 'Is', 'it', 'contagious', '?', 'Is', 'it', 'a', 'killer', '?', 'Does', 'vaccine', 'stop', 'it', '?', 'What', 'sym', 'does', 'it', 'show', '?', 'What', ""'s"", 'your', 'advise', '?', 'Answer', ':', 'Do', ""n't"", 'know', 'to', 'all.WHO', 'lead', 'by', 'D', 'Ted', ""'s"", 'chasing', 'Z', 'virus', 'from', 'behind', '.', 'We', 'need', 'scientists', 'researching', 'ahead', '&', 'amp', ';', 'tackling', 'virus', 'up', 'front', ',', 'No', 'politician', '.', '#', 'NoMore']"
65,"['@', 'BuenComerCancun', 'Ay', 'no', '!', 'Dios', 'me', 'salve', 'de', 'Omicron', '!', 'Buenas', 'noches', '!']"
